Latitude (decimal degrees): -15.608
Longitude (decimal degrees): -56.065
Elevation (m): 177.0
month,year
1,2008
2,2014
3,2019
4,2015
5,2017
6,2015
7,2009
8,2005
9,2012
10,2005
11,2009
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,26.78,81.62,0.0,-0.0,0.0,420.38,1.84,26.0,98840.0
20080101:0100,26.14,84.26,0.0,-0.0,0.0,417.53,1.74,18.0,98957.0
20080101:0200,25.5,86.91,0.0,-0.0,0.0,414.67,1.63,5.0,98996.0
20080101:0300,24.86,89.56,0.0,-0.0,0.0,411.82,1.53,348.0,99016.0
20080101:0400,24.22,92.2,0.0,-0.0,0.0,408.96,1.43,313.0,98996.0
20080101:0500,23.58,94.85,0.0,-0.0,0.0,406.1,1.33,316.0,98967.0
20080101:0600,22.94,97.5,0.0,-0.0,0.0,403.25,1.23,346.0,98918.0
20080101:0700,22.3,100.0,0.0,-0.0,0.0,400.39,1.13,9.0,98908.0
20080101:0800,23.86,92.15,0.0,-0.0,0.0,410.25,1.38,26.0,98889.0
20080101:0900,23.68,93.15,0.0,-0.0,0.0,408.45,1.31,26.0,98898.0
20080101:1000,23.72,94.3,115.0,318.59,61.0,407.65,0.9,34.0,99016.0
20080101:1100,25.04,87.5,292.0,310.49,169.0,404.25,0.9,5.0,99065.0
20080101:1200,26.45,79.8,370.0,124.39,295.0,407.65,1.38,344.0,99133.0
20080101:1300,27.94,74.0,695.0,515.56,295.0,411.45,1.59,334.0,99153.0
20080101:1400,28.72,74.3,970.0,944.58,117.0,418.85,1.38,321.0,99133.0
20080101:1500,29.48,74.5,1073.0,1004.25,93.0,431.45,1.31,289.0,99075.0
20080101:1600,30.03,72.45,1055.0,902.63,162.0,436.25,1.52,284.0,99036.0
20080101:1700,29.73,72.0,964.0,790.41,219.0,436.25,0.48,291.0,98908.0
20080101:1800,28.83,73.25,99.0,0.0,99.0,434.05,0.48,340.0,98840.0
20080101:1900,29.84,67.9,62.0,0.0,62.0,441.05,0.34,227.0,98624.0
20080101:2000,29.67,67.55,42.0,0.0,42.0,429.65,0.14,243.0,98614.0
20080101:2100,28.88,67.95,20.0,0.0,20.0,432.25,0.34,146.0,98663.0
20080101:2200,27.32,73.65,0.0,0.0,0.0,429.45,1.31,211.0,98693.0
20080101:2300,26.54,78.35,0.0,-0.0,0.0,421.45,1.38,206.0,98712.0
20080102:0000,25.93,82.45,0.0,-0.0,0.0,408.85,1.1,196.0,98722.0
20080102:0100,25.27,88.3,0.0,-0.0,0.0,402.85,0.97,184.0,98869.0
20080102:0200,24.73,91.45,0.0,-0.0,0.0,401.65,0.9,195.0,98977.0
20080102:0300,24.94,89.5,0.0,-0.0,0.0,412.85,0.62,145.0,98947.0
20080102:0400,24.57,92.35,0.0,-0.0,0.0,414.85,0.76,95.0,98918.0
20080102:0500,24.96,88.25,0.0,-0.0,0.0,416.85,0.34,51.0,98908.0
20080102:0600,24.52,92.65,0.0,-0.0,0.0,419.85,0.76,299.0,98869.0
20080102:0700,24.38,92.5,0.0,-0.0,0.0,413.05,0.62,303.0,98830.0
20080102:0800,24.18,94.1,0.0,-0.0,0.0,416.05,0.76,296.0,98830.0
20080102:0900,24.11,94.35,0.0,-0.0,0.0,411.65,0.62,303.0,98879.0
20080102:1000,24.37,93.25,26.0,0.0,26.0,404.45,0.34,1.0,98889.0
20080102:1100,26.11,84.45,306.0,377.86,157.0,403.25,0.41,37.0,99016.0
20080102:1200,27.58,77.95,526.0,508.75,220.0,406.85,0.9,37.0,99055.0
20080102:1300,28.66,73.45,754.0,694.39,216.0,414.25,1.59,10.0,99075.0
20080102:1400,29.73,71.35,918.0,781.23,213.0,421.65,1.79,351.0,99075.0
20080102:1500,30.66,64.1,1062.0,968.53,117.0,428.65,1.59,334.0,99006.0
20080102:1600,30.75,63.65,1038.0,852.83,194.0,432.45,1.52,309.0,98957.0
20080102:1700,31.17,63.25,947.0,741.03,248.0,436.25,1.52,304.0,98849.0
20080102:1800,31.41,61.35,90.0,0.0,90.0,430.45,1.52,306.0,98732.0
20080102:1900,29.67,69.3,63.0,0.0,63.0,424.65,1.1,312.0,98605.0
20080102:2000,29.7,67.65,42.0,0.0,42.0,425.45,0.41,351.0,98575.0
20080102:2100,28.15,72.25,59.0,0.0,59.0,421.25,1.24,359.0,98614.0
20080102:2200,27.46,77.5,1.0,0.0,1.0,426.25,0.97,29.0,98703.0
20080102:2300,26.95,80.45,0.0,-0.0,0.0,418.65,1.45,65.0,98771.0
20080103:0000,26.45,83.2,0.0,-0.0,0.0,412.05,1.52,59.0,98820.0
20080103:0100,26.05,84.8,0.0,-0.0,0.0,412.05,1.86,42.0,98947.0
20080103:0200,25.63,85.9,0.0,-0.0,0.0,405.85,1.86,20.0,99016.0
20080103:0300,25.41,86.3,0.0,-0.0,0.0,410.85,1.86,359.0,99006.0
20080103:0400,25.22,86.45,0.0,-0.0,0.0,410.25,2.07,349.0,98996.0
20080103:0500,25.04,86.45,0.0,-0.0,0.0,407.05,2.28,355.0,98947.0
20080103:0600,24.96,86.35,0.0,-0.0,0.0,409.45,2.28,358.0,98967.0
20080103:0700,25.02,86.0,0.0,-0.0,0.0,413.05,1.93,352.0,98957.0
20080103:0800,24.7,87.4,0.0,-0.0,0.0,406.25,1.79,350.0,98977.0
20080103:0900,24.41,89.25,0.0,-0.0,0.0,403.05,1.66,3.0,99036.0
20080103:1000,24.38,91.75,114.0,338.62,58.0,400.45,1.24,13.0,99026.0
20080103:1100,26.19,84.35,354.0,647.13,100.0,397.25,1.24,11.0,99133.0
20080103:1200,27.8,74.2,548.0,595.0,191.0,402.45,1.66,357.0,99192.0
20080103:1300,28.93,68.0,766.0,740.58,193.0,408.65,1.79,347.0,99251.0
20080103:1400,29.56,64.55,876.0,665.32,276.0,419.65,1.79,345.0,99241.0
20080103:1500,30.15,62.2,950.0,656.02,310.0,424.05,1.66,348.0,99212.0
20080103:1600,30.5,60.7,535.0,51.52,484.0,429.85,1.31,332.0,99163.0
20080103:1700,30.86,59.4,140.0,0.0,140.0,430.65,0.69,322.0,99075.0
20080103:1800,30.91,58.45,96.0,0.0,96.0,433.25,0.21,227.0,98996.0
20080103:1900,29.73,62.1,362.0,55.28,324.0,431.65,0.9,60.0,98859.0
20080103:2000,29.2,65.3,472.0,742.37,105.0,427.65,1.52,76.0,98830.0
20080103:2100,28.57,70.0,63.0,0.0,63.0,431.45,1.59,68.0,98840.0
20080103:2200,27.9,74.55,1.0,0.0,1.0,423.65,1.59,83.0,98781.0
20080103:2300,27.17,77.8,0.0,-0.0,0.0,416.65,1.72,73.0,98898.0
20080104:0000,26.6,80.2,0.0,-0.0,0.0,412.25,1.79,43.0,98977.0
20080104:0100,26.17,81.55,0.0,-0.0,0.0,410.85,1.86,32.0,99075.0
20080104:0200,25.77,82.6,0.0,-0.0,0.0,407.05,1.93,25.0,99133.0
20080104:0300,25.55,82.9,0.0,-0.0,0.0,411.45,1.86,14.0,99163.0
20080104:0400,25.4,83.1,0.0,-0.0,0.0,414.25,1.79,359.0,99163.0
20080104:0500,25.13,84.2,0.0,-0.0,0.0,411.45,1.79,354.0,99163.0
20080104:0600,24.75,86.3,0.0,-0.0,0.0,407.25,1.52,358.0,99124.0
20080104:0700,24.25,87.85,0.0,-0.0,0.0,398.65,1.59,4.0,99094.0
20080104:0800,24.02,89.55,0.0,-0.0,0.0,402.25,1.52,5.0,99114.0
20080104:0900,23.67,91.6,0.0,-0.0,0.0,394.25,1.52,5.0,99153.0
20080104:1000,23.86,92.2,110.0,318.44,58.0,395.45,1.45,2.0,99231.0
20080104:1100,26.1,83.85,280.0,281.56,170.0,396.85,1.59,355.0,99300.0
20080104:1200,27.87,74.55,575.0,711.75,149.0,403.65,2.21,350.0,99329.0
20080104:1300,28.81,69.65,791.0,830.9,149.0,412.65,2.55,339.0,99368.0
20080104:1400,29.83,65.0,963.0,926.52,128.0,415.85,2.48,329.0,99359.0
20080104:1500,30.62,61.2,1010.0,816.02,214.0,426.45,1.93,321.0,99339.0
20080104:1600,31.22,58.4,375.0,3.03,372.0,428.45,1.52,302.0,99310.0
20080104:1700,31.65,56.45,404.0,11.64,393.0,428.65,1.45,283.0,99173.0
20080104:1800,31.8,55.35,80.0,0.0,80.0,429.45,1.17,257.0,99065.0
20080104:1900,31.59,54.3,63.0,0.0,63.0,426.85,0.83,253.0,98967.0
20080104:2000,30.24,55.6,45.0,0.0,45.0,429.45,0.9,116.0,98820.0
20080104:2100,29.29,61.4,20.0,0.0,20.0,421.85,0.76,78.0,98840.0
20080104:2200,28.57,67.05,2.0,0.0,2.0,416.85,1.24,84.0,98928.0
20080104:2300,27.55,72.6,0.0,-0.0,0.0,415.25,1.72,76.0,98977.0
20080105:0000,26.77,77.6,0.0,-0.0,0.0,410.25,1.52,79.0,99114.0
